Time (s) A1,Force (N) A1,Time (s) A2,Force (N) A2,Time (s) A3,Force (N) A3,Time (s) B1,Force (N) B1,Time (s) B2,Force (N) B2,Time (s) B3,Force (N) B3,Time (s) Control 1,Force (N) Control 1,Time (s) Control 2,Force (N) Control 2,Time (s) Control 3,Force (N) Control 3
0.236,0.01,0.236,0.01,0.236,0.02,0.236,0.0,0.236,0.0,0.236,0.01,0.236,0.0,0.236,0.0,0.236,0.0
0.238,0.01,0.238,0.02,0.238,0.02,0.238,0.0,0.238,-0.01,0.238,0.0,0.238,0.0,0.238,0.0,0.238,0.0
0.24,0.01,0.24,0.02,0.24,0.01,0.24,0.0,0.24,-0.01,0.24,0.0,0.24,0.01,0.24,0.0,0.24,0.0
0.242,0.01,0.242,0.03,0.242,0.01,0.242,0.0,0.242,-0.01,0.242,-0.01,0.242,0.01,0.242,0.01,0.242,0.0
0.244,0.02,0.244,0.02,0.244,0.02,0.244,0.01,0.244,0.0,0.244,0.0,0.244,0.0,0.244,0.01,0.244,0.0
0.246,0.01,0.246,0.02,0.246,0.01,0.246,0.0,0.246,-0.01,0.246,0.0,0.246,0.01,0.246,0.0,0.246,0.01
0.248,0.01,0.248,0.01,0.248,0.01,0.248,0.0,0.248,0.0,0.248,0.0,0.248,0.0,0.248,0.01,0.248,0.0
0.25,0.03,0.25,0.03,0.25,0.01,0.25,0.0,0.25,0.0,0.25,0.0,0.25,0.0,0.25,0.01,0.25,0.0
0.252,0.02,0.252,0.02,0.252,0.01,0.252,0.0,0.252,-0.01,0.252,0.01,0.252,0.0,0.252,0.01,0.252,0.01
0.254,0.02,0.254,0.01,0.254,0.01,0.254,0.0,0.254,-0.01,0.254,0.0,0.254,0.0,0.254,0.0,0.254,0.01
0.256,0.01,0.256,0.02,0.256,0.01,0.256,0.0,0.256,-0.01,0.256,0.0,0.256,0.0,0.256,0.0,0.256,0.01
0.258,0.01,0.258,0.0,0.258,0.01,0.258,0.0,0.258,-0.01,0.258,0.0,0.258,-0.01,0.258,0.01,0.258,0.0
0.26,0.02,0.26,0.02,0.26,0.01,0.26,0.0,0.26,0.0,0.26,0.01,0.26,0.01,0.26,0.0,0.26,0.0
0.262,0.02,0.262,0.02,0.262,0.01,0.262,0.0,0.262,0.0,0.262,0.0,0.262,0.0,0.262,0.01,0.262,0.01
0.264,0.02,0.264,0.0,0.264,0.02,0.264,0.0,0.264,0.0,0.264,0.0,0.264,0.0,0.264,0.01,0.264,0.0
0.266,0.02,0.266,0.01,0.266,0.02,0.266,0.0,0.266,0.0,0.266,0.0,0.266,-0.01,0.266,0.01,0.266,0.01
0.268,0.02,0.268,0.01,0.268,0.02,0.268,0.0,0.268,-0.01,0.268,0.0,0.268,-0.01,0.268,0.01,0.268,-0.01
0.27,0.02,0.27,0.01,0.27,0.02,0.27,0.0,0.27,0.0,0.27,0.0,0.27,0.0,0.27,0.01,0.27,0.0
0.272,0.02,0.272,0.02,0.272,0.02,0.272,0.0,0.272,0.0,0.272,0.01,0.272,0.0,0.272,0.01,0.272,0.0
0.274,0.02,0.274,0.02,0.274,0.02,0.274,0.0,0.274,0.0,0.274,0.01,0.274,0.0,0.274,0.0,0.274,0.0
0.276,0.01,0.276,0.01,0.276,0.01,0.276,0.0,0.276,-0.01,0.276,0.0,0.276,0.0,0.276,0.01,0.276,0.0
0.278,0.01,0.278,0.0,0.278,0.01,0.278,0.0,0.278,-0.01,0.278,0.0,0.278,-0.02,0.278,0.01,0.278,0.0
0.28,0.01,0.28,0.01,0.28,0.01,0.28,0.0,0.28,0.0,0.28,0.0,0.28,-0.01,0.28,0.02,0.28,0.0
0.282,0.01,0.282,0.02,0.282,0.01,0.282,0.0,0.282,0.0,0.282,0.01,0.282,-0.01,0.282,0.01,0.282,0.0
0.284,0.02,0.284,0.01,0.284,0.01,0.284,0.01,0.284,0.0,0.284,-0.01,0.284,-0.01,0.284,0.01,0.284,0.0
0.286,0.01,0.286,0.02,0.286,0.01,0.286,0.0,0.286,0.0,0.286,0.0,0.286,0.0,0.286,0.01,0.286,0.0
0.288,0.02,0.288,0.01,0.288,0.01,0.288,0.0,0.288,0.0,0.288,0.0,0.288,0.0,0.288,0.0,0.288,0.0
0.29,0.01,0.29,0.01,0.29,0.01,0.29,0.01,0.29,0.0,0.29,0.01,0.29,-0.01,0.29,0.02,0.29,-0.01
0.292,0.01,0.292,0.03,0.292,0.01,0.292,-0.01,0.292,0.0,0.292,0.0,0.292,-0.01,0.292,0.01,0.292,0.0
0.294,0.01,0.294,0.01,0.294,0.02,0.294,0.0,0.294,0.0,0.294,0.0,0.294,-0.01,0.294,0.01,0.294,0.0
0.296,0.02,0.296,0.01,0.296,0.01,0.296,0.01,0.296,0.0,0.296,0.0,0.296,0.0,0.296,0.0,0.296,0.0
0.298,0.01,0.298,0.02,0.298,0.01,0.298,0.0,0.298,0.0,0.298,0.0,0.298,0.0,0.298,0.0,0.298,0.0
