Time (s) Control 3,Force (N) Control 3
0.4679999999999999,-0.01
0.4700000000000006,0.0
0.4720000000000013,0.0
0.4740000000000002,-0.01
0.4760000000000008,0.0
0.4779999999999997,0.0
0.4800000000000004,0.0
0.4820000000000011,-0.01
0.484,0.0
0.4860000000000006,0.0
0.4880000000000013,0.0
0.4900000000000002,0.0
0.4920000000000009,0.0
0.4939999999999998,0.0
0.4960000000000004,0.0
0.4980000000000011,-0.01
0.5,-0.01
0.5020000000000007,-0.01
0.5040000000000013,-0.02
0.5060000000000002,-0.02
0.5080000000000009,-0.02
0.5099999999999998,-0.01
0.5120000000000005,-0.01
0.5140000000000011,-0.01
0.516,-0.01
0.5180000000000007,-0.02
0.5200000000000014,-0.01
0.5220000000000002,0.0
0.5240000000000009,-0.01
0.5259999999999998,0.0
0.5280000000000005,0.0
0.5300000000000011,-0.01
0.532,0.0
0.5340000000000007,0.0
0.5360000000000014,0.0
0.5380000000000003,0.0
0.5400000000000009,0.01
0.5419999999999998,0.0
0.5440000000000005,0.0
0.5460000000000012,0.0
0.548,0.0
0.5500000000000007,0.0
0.5520000000000014,0.0
0.5540000000000003,0.0
0.5560000000000009,0.0
0.5579999999999998,0.0
0.5600000000000005,0.0
0.5620000000000012,0.0
0.5640000000000001,0.0
0.5660000000000007,0.0
0.5679999999999996,-0.01
0.5700000000000003,0.0
0.572000000000001,0.0
0.5739999999999998,-0.01
0.5760000000000005,0.0
0.5780000000000012,0.0
0.5800000000000001,0.01
0.5820000000000007,0.0
0.5839999999999996,0.0
0.5860000000000003,0.0
0.588000000000001,0.0
0.5899999999999999,0.01
0.5920000000000005,0.01
0.5940000000000012,0.01
0.5960000000000001,0.0
0.5980000000000008,0.01
0.5999999999999996,0.01
0.6020000000000003,0.0
0.604000000000001,0.01
0.6059999999999999,0.0
0.6080000000000005,0.0
0.6100000000000012,0.01
0.6120000000000001,0.0
0.6140000000000008,0.0
0.6159999999999997,0.0
0.6180000000000003,0.0
0.620000000000001,0.01
0.6219999999999999,0.0
0.6240000000000006,0.0
0.6260000000000012,0.0
0.6280000000000001,0.0
0.6300000000000008,0.0
0.6319999999999997,0.01
0.6340000000000003,0.01
0.636000000000001,0.01
0.6379999999999999,0.0
0.6400000000000006,0.0
0.6420000000000012,0.01
0.6440000000000001,0.0
0.6460000000000008,0.0
0.6479999999999997,0.01
0.6500000000000004,0.01
0.652000000000001,0.0
0.6539999999999999,0.0
0.6560000000000006,0.01
0.6580000000000013,0.01
0.6600000000000001,0.0
0.6620000000000008,0.02
0.6639999999999997,0.01
0.6660000000000004,0.0
0.668000000000001,-0.01
0.6699999999999999,0.01
0.6720000000000006,0.0
0.6740000000000013,0.0
0.6760000000000002,-0.01
0.6780000000000008,0.0
0.6799999999999997,0.0
0.6820000000000004,-0.01
0.684000000000001,0.0
0.6859999999999999,-0.02
0.6880000000000006,-0.01
0.6900000000000013,-0.01
0.6920000000000002,0.0
0.6940000000000008,0.0
0.6959999999999997,0.0
0.6980000000000004,0.0
0.7000000000000011,0.0
0.702,0.0
0.7040000000000006,-0.01
0.7060000000000013,0.0
0.7080000000000002,0.0
0.7100000000000009,-0.01
0.7119999999999997,-0.01
0.7140000000000004,-0.01
0.7160000000000011,-0.01
0.718,0.0
0.7200000000000006,0.0
0.7220000000000013,-0.01
0.7240000000000002,0.0
0.7260000000000009,0.0
0.7279999999999998,-0.01
0.7300000000000004,-0.01
0.7320000000000011,-0.02
0.734,0.0
0.7360000000000007,-0.01
0.7380000000000013,0.0
0.7400000000000002,-0.01
0.7420000000000009,-0.02
0.7439999999999998,0.0
0.7460000000000004,-0.02
0.7480000000000011,0.0
0.75,-0.02
0.7520000000000007,0.0
0.7540000000000013,-0.01
0.7560000000000002,-0.01
0.7580000000000009,-0.01
0.7599999999999998,-0.01
0.7620000000000005,-0.01
0.7640000000000011,0.0
0.766,-0.01
0.7680000000000007,-0.01
0.7700000000000014,-0.01
0.7720000000000002,0.01
0.7740000000000009,0.0
0.7759999999999998,0.0
0.7780000000000005,-0.01
0.7800000000000011,0.0
0.782,0.0
0.7840000000000007,0.0
0.7860000000000014,0.01
0.7880000000000003,0.0
0.7900000000000009,0.0
0.7919999999999998,0.0
0.7940000000000005,0.0
0.7960000000000012,0.0
0.798,-0.01
0.8000000000000007,0.0
0.8020000000000014,-0.01
0.8040000000000003,-0.01
0.8060000000000009,0.0
0.8079999999999998,-0.01
0.8100000000000005,0.0
0.8120000000000012,-0.01
0.8140000000000001,-0.01
0.8160000000000007,-0.02
0.8179999999999996,-0.01
0.8200000000000003,-0.01
0.822000000000001,-0.01
0.8239999999999998,-0.01
0.8260000000000005,0.0
0.8280000000000012,0.0
0.8300000000000001,-0.02
0.8320000000000007,0.0
0.8339999999999996,-0.01
0.8360000000000003,0.0
0.838000000000001,-0.01
0.8399999999999999,-0.01
0.8420000000000005,-0.02
0.8440000000000012,-0.02
0.8460000000000001,-0.01
